ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
-,-,-,-,-,-,19800,88.42,0.55,-0.25,24150,1577,10109,7300,1312
-,-,-,-,-,-,75,86.72,0.55,-48.30,75,1371,10109,7350,1312
-,-,-,-,-,-,-,85.02,0.55,-53.75,-,181,10109,7400,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,7450,1312
-,-,-,-,-,-,-7725,82.33,0.60,-0.25,57225,732,10109,7500,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,7550,1312
-,-,-,-,-,-,-,-,-,-,150,-,10109,7600,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,7650,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,7700,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,7750,1312
-,-,-,-,-,-,900,73.98,0.75,-633.70,900,41,10109,7800,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,7850,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,7900,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,7950,1312
-,-,-,-,-,-,-25125,69.04,0.95,-,196725,8169,10109,8000,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,8050,1312
-,-,-,-,-,-,225,65.36,0.90,-0.45,6450,27,10109,8100,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,8150,1312
-,-,-,-,-,-,2775,62.79,1.00,-0.60,8550,98,10109,8200,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,8250,1312
-,-,-,-,-,-,-,60.99,1.25,-0.85,375,2,10109,8300,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,8350,1312
-,-,-,-,-,-,3825,57.14,1.15,-0.80,10575,153,10109,8400,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,8450,1312
-,-,-,-,825,-,33600,54.63,1.30,-0.65,423675,5249,10109,8500,1312
-,-,-,-,-,-,-,-,-,-,-,-,10109,8550,1312
-,-,-,-,-,-,75,51.36,1.30,-0.85,28500,676,10109,8600,1312
-,-,-,-,-,-,-,-,-,-,675,-,10109,8650,1312
-,-,-,-,-,-,-12675,49.30,1.60,-1.00,104400,1542,10109,8700,1312
-,-,-,-,-,-,-,-,-,-,150,-,10109,8750,1312
-,-,-,-,75,-,106350,46.35,1.70,-1.30,230775,4186,10109,8800,1312
-,-,-,-,-,-,450,45.32,1.90,-1.70,3750,16,10109,8850,1312
-,-,1179.10,76.10,450,2,283500,44.08,2.05,-1.70,452700,12155,10109,8900,1312
-,-,-,-,-,-,1050,42.40,2.05,-2.45,2025,36,10109,8950,1312
75,-,1069.00,54.40,28575,5,84525,41.59,2.35,-2.25,1102575,21432,10109,9000,1312
-,-,-,-,150,-,300,39.17,2.10,-3.20,16800,211,10109,9050,1312
-150,-,1000.00,86.60,12975,7,1200,39.02,2.90,-3.20,209250,10407,10109,9100,1312
-,-,942.95,-380.20,-,2,450,37.94,3.15,-4.05,13725,211,10109,9150,1312
-,-,902.00,81.45,14175,7,-9600,37.08,3.60,-4.85,434475,16456,10109,9200,1312
75,-,866.65,-414.10,75,2,7650,36.15,4.30,-5.90,12750,782,10109,9250,1312
-525,-,795.00,71.80,55125,19,55800,35.56,5.30,-6.60,417300,21221,10109,9300,1312
-,-,694.30,-56.70,450,1,12300,34.38,5.95,-8.55,28725,1074,10109,9350,1312
