ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
-,-,-,-,-,-,-,-,-,-,18150,-,10135,7300,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,7350,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,7400,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,7450,0942
-,-,-,-,225,-,11925,-,26.85,-1.40,139125,343,10135,7500,0942
-,-,-,-,-,-,-,-,-,-,75,-,10135,7550,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,7600,0942
-,-,-,-,-,-,-,-,-,-,2175,-,10135,7650,0942
-,-,-,-,75,-,-,-,-,-,26550,-,10135,7700,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,7750,0942
-,-,-,-,-,-,-,-,-,-,375,-,10135,7800,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,7850,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,7900,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,7950,0942
-600,-,2128.90,73.90,3900,9,-825,41.73,37.00,-2.15,225000,66,10135,8000,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8050,0942
-,-,-,-,-,-,-,-,-,-,750,-,10135,8100,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8150,0942
-,-,-,-,-,-,-75,-,40.15,-4.85,3900,13,10135,8200,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8250,0942
-,-,-,-,600,-,-,34.13,26.50,-29.55,2325,1,10135,8300,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8350,0942
-,-,-,-,-,-,-,-,-,-,900,-,10135,8400,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8450,0942
150,-,1662.70,98.65,10650,3,-225,-,52.40,-7.80,279000,136,10135,8500,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8550,0942
-,-,-,-,-,-,-,-,-,-,2700,-,10135,8600,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8650,0942
-,-,-,-,-,-,-,-,67.00,-10.70,4650,3,10135,8700,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8750,0942
-,-,-,-,-,-,-,-,-,-,29325,-,10135,8800,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8850,0942
-,-,-,-,150,-,-,-,90.00,-4.05,4425,1,10135,8900,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,8950,0942
-,-,1197.00,85.85,109050,19,18300,-,95.80,-16.20,619125,849,10135,9000,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,9050,0942
-,-,-,-,1350,-,75,-,105.25,-29.75,6600,5,10135,9100,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,9150,0942
-,-,-,-,3225,-,75,-,127.10,-19.85,8250,21,10135,9200,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,9250,0942
-,-,-,-,4275,-,975,-,146.15,-20.85,298650,43,10135,9300,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,9350,0942
-,-,-,-,7500,-,225,-,160.70,-28.95,25875,22,10135,9400,0942
-,-,-,-,-,-,-,-,-,-,75,-,10135,9450,0942
225,-,792.00,73.15,215925,40,4425,31.77,187.55,-27.70,241950,332,10135,9500,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,9550,0942
-,-,-,-,8175,-,300,-,211.20,-31.85,8325,17,10135,9600,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,9650,0942
-,16.23,640.00,131.00,6900,1,450,-,240.60,-35.70,16950,45,10135,9700,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,9750,0942
150,-,580.00,58.25,12525,4,1875,30.89,271.00,-43.35,211425,182,10135,9800,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,9850,0942
-,-,520.65,54.65,13575,5,300,-,309.60,-45.00,56400,53,10135,9900,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,9950,0942
1875,-,457.25,56.85,472650,206,1725,-,347.50,-47.10,183525,361,10135,10000,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10050,0942
300,-,401.65,47.95,14550,24,525,30.68,389.05,-52.80,7875,48,10135,10100,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10150,0942
2775,-,356.50,52.10,16500,75,900,-,435.00,-56.40,6675,17,10135,10200,0942
75,25.57,420.95,-725.90,75,1,-,-,-,-,-,-,10135,10250,0942
975,19.27,298.05,35.55,7350,32,-,-,485.00,-65.00,225,1,10135,10300,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10350,0942
-375,-,260.95,38.30,12825,34,-,-,-,-,150,-,10135,10400,0942
-,-,-,-,75,-,-,-,-,-,-,-,10135,10450,0942
-1875,-,225.30,36.95,296250,357,600,-,600.20,-78.05,42075,39,10135,10500,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10550,0942
-,19.92,188.05,33.05,2400,11,-,-,-,-,150,-,10135,10600,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10650,0942
-,-,152.60,31.90,1500,4,-,-,-,-,75,-,10135,10700,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10750,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10800,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10850,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10900,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,10950,0942
-150,19.80,85.05,12.75,307650,501,900,-,953.00,-95.80,35325,53,10135,11000,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,11050,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,11100,0942
-,-,-,-,825,-,-,-,-,-,-,-,10135,11150,0942
150,-,54.05,8.95,6600,11,-,-,-,-,75,-,10135,11200,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,11250,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,11300,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,11350,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,11400,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,11450,0942
75,20.24,30.00,6.75,18225,23,150,-,1415.00,-81.70,1800,4,10135,11500,0942
-,-,-,-,-,-,-,-,-,-,-,-,10135,11550,0942
