ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
451.80,75,446.25,75,103500,-,449.60,55.80,186300,6095,393.95,150,390.20,225,171900,-,393.95,-129.90,176100,5654,8561,8500,1110
437.75,75,435.40,150,111150,-,437.75,43.95,193950,6282,390.00,75,388.90,75,178425,-,389.00,-134.85,182625,5810,8542,8500,1113
441.30,150,435.00,75,124650,-,437.10,43.30,207450,6640,345.00,6150,342.25,75,189750,-,345.00,-178.85,193950,6251,8604,8500,1116
455.65,225,449.75,75,124650,-,451.80,58.00,207450,6755,349.00,75,346.75,75,189750,-,347.40,-176.45,193950,6454,8619,8500,1119
454.30,75,450.40,75,128700,-,455.10,61.30,211500,6937,352.30,225,349.20,75,202050,-,351.75,-172.10,206250,6701,8610,8500,1122
452.75,75,447.65,150,138600,-,447.80,54.00,221400,7146,369.50,225,366.30,300,217725,-,367.00,-156.85,221925,7005,8597,8500,1125
438.70,75,433.45,75,143475,-,438.00,44.20,226275,7269,386.15,375,381.60,225,222225,-,384.80,-139.05,226425,7177,8558,8500,1129
451.60,150,446.70,75,146775,-,451.85,58.05,229575,7364,383.00,75,380.40,75,222900,-,383.00,-140.85,227100,7342,8566,8500,1131
435.45,225,431.35,375,147000,-,433.95,40.15,229800,7512,393.50,75,391.05,300,224400,-,393.55,-130.30,228600,7521,8538,8500,1135
437.95,150,435.85,75,152550,-,437.00,43.20,235350,7705,385.25,150,384.00,75,231375,-,385.00,-138.85,235575,7823,8543,8500,1139
475.40,75,472.25,375,160500,-,476.00,82.20,243300,8224,350.50,450,346.05,150,247425,-,350.45,-173.40,251625,8927,8626,8500,1144
486.25,150,479.85,300,160500,-,481.00,87.20,243300,8331,357.95,75,354.10,225,247425,-,355.05,-168.80,251625,9154,8617,8500,1146
504.35,225,499.45,225,165825,-,502.85,109.05,248625,8571,361.15,75,361.00,1125,264075,-,361.05,-162.80,268275,10075,8624,8500,1150
508.25,75,503.55,300,167550,-,507.65,113.85,250350,8621,359.70,75,356.25,300,266400,-,357.40,-166.45,270600,10226,8643,8500,1153
504.95,75,500.30,300,167550,-,504.95,111.15,250350,8627,359.65,75,357.50,225,266400,-,357.55,-166.30,270600,10264,8634,8500,1155
497.85,75,493.80,225,167700,-,493.80,100.00,250500,8713,365.00,750,363.20,75,267525,-,364.90,-158.95,271725,10452,8620,8500,1158
519.95,75,515.30,375,171000,-,519.95,126.15,253800,8807,352.75,150,351.05,75,280875,-,352.10,-171.75,285075,10774,8659,8500,1202
543.90,75,540.05,150,170550,-,540.00,146.20,253350,8961,332.65,225,330.30,75,282825,-,332.20,-191.65,287025,11019,8705,8500,1205
538.10,150,530.10,75,170550,-,531.70,137.90,253350,9033,336.80,150,334.40,75,282825,-,337.00,-186.85,287025,11123,8687,8500,1207
549.00,75,545.05,150,171675,-,545.00,151.20,254475,9190,336.70,300,334.50,1050,285225,-,336.00,-187.85,289425,11361,8707,8500,1211
550.00,150,546.55,375,171675,-,548.00,154.20,254475,9287,335.40,75,333.15,150,285225,-,334.75,-189.10,289425,11454,8713,8500,1214
530.15,225,516.85,150,176250,-,525.00,131.20,259050,9467,348.85,75,347.50,75,289200,-,348.25,-175.60,293400,11685,8694,8500,1218
535.00,525,528.75,450,176700,-,533.45,139.65,259500,9570,348.10,375,345.20,75,289500,-,347.00,-176.85,293700,11833,8685,8500,1222
536.55,225,530.25,150,177300,-,535.20,141.40,260100,9640,345.00,300,343.25,75,287775,-,344.60,-179.25,291975,11876,8686,8500,1225
530.95,150,527.15,150,177225,-,529.90,136.10,260025,9749,351.45,75,348.00,75,288375,-,351.35,-172.50,292575,11993,8682,8500,1228
533.30,450,527.25,150,184500,-,528.20,134.40,267300,9876,352.95,75,351.00,225,296925,-,351.40,-172.45,301125,12179,8677,8500,1232
533.40,375,528.35,150,184500,-,528.75,134.95,267300,9887,352.90,75,351.05,75,296925,-,352.85,-171.00,301125,12196,8681,8500,1235
540.60,150,535.45,300,187200,-,537.95,144.15,270000,9975,345.10,150,342.85,75,297750,-,342.95,-180.90,301950,12376,8715,8500,1237
537.00,75,533.80,225,187200,-,537.95,144.15,270000,9976,345.45,75,343.25,225,297750,-,343.25,-180.60,301950,12379,8712,8500,1241
538.95,75,534.20,300,184500,-,538.75,144.95,267300,9903,348.15,75,345.15,225,296925,-,348.20,-175.65,301125,12266,8692,8500,1244
538.95,75,534.20,300,184500,-,538.75,144.95,267300,9903,348.15,75,345.15,225,296925,-,348.20,-175.65,301125,12266,8692,8500,1247
538.95,75,534.20,300,184500,-,538.75,144.95,267300,9903,348.15,75,345.15,225,296925,-,348.20,-175.65,301125,12266,8692,8500,1251
538.95,75,534.20,300,184500,-,538.75,144.95,267300,9903,348.15,75,345.15,225,296925,-,348.20,-175.65,301125,12266,8692,8500,1256
538.95,75,534.20,300,184500,-,538.75,144.95,267300,9903,348.15,75,345.15,225,296925,-,348.20,-175.65,301125,12266,8692,8500,1300
539.60,75,534.90,300,198375,-,534.30,140.50,281175,10450,342.80,150,340.45,75,334425,-,342.05,-181.80,338625,13975,8711,8500,1303
519.60,150,513.85,300,207000,-,517.10,123.30,289800,10743,353.65,75,351.15,75,351525,-,351.90,-171.95,355725,14458,8683,8500,1308
522.85,75,519.00,75,206925,-,522.90,129.10,289725,10811,344.20,225,341.35,75,354225,-,344.45,-179.40,358425,14595,8702,8500,1312
529.95,75,528.00,4950,207150,-,528.05,134.25,289950,10936,346.85,75,345.10,150,357600,-,345.05,-178.80,361800,14799,8706,8500,1316
538.45,75,535.50,1125,204750,-,535.50,141.70,287550,11200,355.00,150,351.55,300,357900,-,354.65,-169.20,362100,15124,8709,8500,1320
534.95,75,533.00,150,208800,-,533.00,139.20,291600,11271,359.95,525,357.15,75,359550,-,359.60,-164.25,363750,15199,8698,8500,1323
486.50,75,480.25,75,208875,-,484.15,90.35,291675,11467,378.30,75,375.65,150,359175,-,375.60,-148.25,363375,15533,8670,8500,1326
474.05,150,466.15,300,208875,-,471.40,77.60,291675,11789,379.70,75,376.10,75,359175,-,378.40,-145.45,363375,16014,8628,8500,1330
436.30,75,431.30,75,202650,-,431.80,38.00,285450,12451,415.75,150,412.20,150,355425,-,414.80,-109.05,359625,17130,8578,8500,1334
438.75,150,433.10,150,208125,-,437.40,43.60,290925,12663,420.00,225,417.80,150,357375,-,418.50,-105.35,361575,17413,8547,8500,1338
444.15,150,439.75,300,201600,-,443.00,49.20,284400,12972,425.10,225,422.50,75,348675,-,422.55,-101.30,352875,17896,8551,8500,1341
