ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
-225,-,3079.10,73.25,202125,6,150,67.11,3.85,-0.60,486000,138,10115,7000,1000
-,-,-,-,-,-,-,-,3.05,2.00,75,1,10115,7050,1000
-,-,-,-,300,-,-,-,-,-,4800,-,10115,7100,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,7150,1000
-,-,-,-,75,-,-,-,-,-,4350,-,10115,7200,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,7250,1000
-,-,-,-,150,-,-,-,-,-,2250,-,10115,7300,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,7350,1000
-,-,-,-,-,-,-,-,4.05,-1.75,43275,2,10115,7400,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,7450,1000
-,-,-,-,257175,-,525,59.33,6.00,-0.40,993975,639,10115,7500,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,7550,1000
-,-,-,-,600,-,-,-,-,-,12300,-,10115,7600,1000
-,-,-,-,-,-,-,-,-,-,150,-,10115,7650,1000
-,-,-,-,10725,-,2325,55.10,6.40,-1.05,62625,50,10115,7700,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,7750,1000
-,-,-,-,450,-,-75,53.77,7.10,-0.70,108375,29,10115,7800,1000
-,-,-,-,-,-,-,-,-,-,300,-,10115,7850,1000
-,-,-,-,600,-,1275,-,7.20,-1.60,30225,121,10115,7900,1000
-,-,-,-,-,-,-,-,-,-,75,-,10115,7950,1000
-7050,-,2096.85,90.70,526725,149,-7950,-,8.30,-1.00,1609125,1500,10115,8000,1000
-,-,-,-,-,-,75,49.94,9.00,-1.50,4575,1,10115,8050,1000
-,-,-,-,6225,-,-16350,47.95,8.30,-1.30,61800,864,10115,8100,1000
-,-,-,-,-,-,-,-,-,-,1875,-,10115,8150,1000
-,-,-,-,57375,-,225,46.23,8.60,-1.65,125400,95,10115,8200,1000
-,-,-,-,-,-,-,-,5.25,-6.65,300,3,10115,8250,1000
-,-,-,-,88200,-,-750,-,9.25,-1.80,445050,313,10115,8300,1000
-,-,-,-,-,-,-,42.42,8.10,-4.40,150,14,10115,8350,1000
-,-,-,-,36975,-,-975,42.80,10.05,-2.35,151425,478,10115,8400,1000
-,-,-,-,75,-,-,-,-,-,150,-,10115,8450,1000
-225,-,1626.55,103.05,433425,36,-26475,-,11.80,-2.65,1915950,3393,10115,8500,1000
-,-,-,-,75,-,-,-,-,-,2775,-,10115,8550,1000
-,-,1493.95,65.40,863775,1,-825,-,13.25,-2.75,203400,674,10115,8600,1000
-,-,-,-,150,-,3075,39.99,15.00,-0.25,6825,43,10115,8650,1000
-,-,1415.00,116.40,52275,4,2625,39.06,15.50,-3.40,438825,819,10115,8700,1000
-,-,-,-,75,-,-,-,16.30,-3.35,4500,1,10115,8750,1000
-,-,1337.55,105.35,47850,1,-21300,-,18.40,-4.10,849000,1323,10115,8800,1000
-,-,-,-,300,-,-75,38.01,21.50,-3.00,6675,13,10115,8850,1000
-,-,1208.00,73.05,50550,3,8775,37.18,22.60,-5.45,604200,1521,10115,8900,1000
-,-,-,-,225,-,2325,36.93,25.50,-7.10,9600,53,10115,8950,1000
-7275,-,1115.00,65.70,499575,181,77400,36.45,27.90,-7.00,3378850,5960,10115,9000,1000
-,-,-,-,9300,-,300,35.68,29.70,-8.80,24975,11,10115,9050,1000
-150,-,1025.45,67.65,195450,9,600,35.77,34.70,-8.15,476700,1598,10115,9100,1000
-,-,-,-,5850,-,1050,-,39.00,-9.35,12600,42,10115,9150,1000
300,-,937.40,71.60,183525,29,9900,-,43.10,-10.40,612900,1907,10115,9200,1000
-,-,-,-,3075,-,-750,34.95,48.55,-10.45,16425,72,10115,9250,1000
150,-,847.00,67.10,252750,47,1425,34.69,53.75,-11.60,450375,2200,10115,9300,1000
-,-,-,-,11775,-,900,-,55.50,-18.25,19725,19,10115,9350,1000
-900,-,760.10,66.50,266475,24,6300,34.05,66.25,-14.50,865200,2402,10115,9400,1000
-,24.35,738.45,87.65,25425,4,600,-,75.00,-14.85,29400,72,10115,9450,1000
-8250,20.30,678.50,65.75,1017525,439,80700,33.65,81.95,-17.55,2792250,7578,10115,9500,1000
-,-,643.25,73.55,7575,1,3075,33.43,92.30,-17.90,22425,167,10115,9550,1000
-150,22.27,598.15,63.10,362850,58,29475,33.15,100.60,-21.20,2173425,3592,10115,9600,1000
75,-,550.80,57.40,7875,2,2625,-,112.10,-21.90,15825,92,10115,9650,1000
5250,22.72,518.00,56.65,211950,265,-3525,-,123.60,-24.85,488550,2913,10115,9700,1000
150,25.47,498.00,72.30,15450,5,1650,-,136.60,-26.70,19950,81,10115,9750,1000
-1125,23.67,447.85,55.00,457050,557,-10575,-,150.85,-28.60,924450,7191,10115,9800,1000
-,-,415.45,54.60,20100,5,2850,32.03,166.50,-31.45,31650,147,10115,9850,1000
-4800,-,376.85,46.85,465375,1191,58500,31.88,181.40,-34.50,1982100,6127,10115,9900,1000
-300,-,343.50,42.30,14475,22,-1275,-,201.00,-35.05,31500,229,10115,9950,1000
-52125,-,318.45,46.75,1814250,7100,-4800,31.65,218.20,-39.25,2006025,11769,10115,10000,1000
-1500,24.04,286.80,41.90,30375,332,2025,-,242.00,-39.30,17550,335,10115,10050,1000
24450,23.86,261.30,40.70,442875,4405,81150,-,261.50,-43.90,432750,4226,10115,10100,1000
2250,23.95,236.00,37.85,30300,564,1350,31.48,284.70,-46.30,14400,175,10115,10150,1000
-2625,23.89,211.30,35.15,614850,6681,10875,31.36,312.00,-49.15,127650,1076,10115,10200,1000
-1575,-,185.20,29.40,37350,205,-,-,332.80,-64.20,5625,3,10115,10250,1000
2400,-,166.15,28.25,577425,3585,5550,-,369.55,-55.85,147225,293,10115,10300,1000
1275,23.78,146.60,25.90,17475,124,225,-,401.00,-52.30,2550,4,10115,10350,1000
26025,23.44,128.75,22.90,457275,3309,2100,-,428.60,-57.20,31350,49,10115,10400,1000
1725,-,108.00,16.35,19275,128,-,-,-,-,375,-,10115,10450,1000
29025,-,97.35,17.65,1627350,11298,1725,31.95,494.00,-68.65,567675,602,10115,10500,1000
2550,-,83.55,15.90,18750,167,-,-,555.65,-1740.05,-,1,10115,10550,1000
6675,-,71.80,13.05,496050,3650,6000,-,574.90,-64.15,41475,91,10115,10600,1000
-13950,22.99,60.85,10.30,40275,843,-,-,-,-,75,-,10115,10650,1000
4800,23.09,52.10,9.70,637950,3644,150,-,638.00,-85.20,10500,10,10115,10700,1000
5625,-,42.10,4.90,15525,165,-,31.39,679.20,-87.05,150,1,10115,10750,1000
14325,-,37.00,6.15,454875,3703,300,30.45,712.30,-108.70,16650,6,10115,10800,1000
225,23.07,31.25,3.35,3750,11,-,-,-,-,150,-,10115,10850,1000
19050,-,27.00,4.00,183825,1709,-,-,801.25,-98.25,15300,1,10115,10900,1000
-1125,23.09,22.00,1.50,7875,39,-,-,-,-,-,-,10115,10950,1000
-2175,-,19.90,2.60,1668375,7384,-1800,-,920.00,-73.15,347400,149,10115,11000,1000
4125,23.72,17.10,2.50,5025,99,-,-,-,-,-,-,10115,11050,1000
16800,23.83,14.55,1.25,141300,1523,-,33.81,985.00,-110.10,1725,4,10115,11100,1000
150,-,13.35,3.20,1425,5,-,-,-,-,-,-,10115,11150,1000
825,-,11.30,1.20,107625,1088,-,-,-,-,3150,-,10115,11200,1000
75,25.57,11.85,1.65,1050,3,-,-,-,-,-,-,10115,11250,1000
-525,25.03,8.85,0.65,98850,846,-,40.04,1192.50,-81.60,149100,1,10115,11300,1000
-,-,-,-,525,-,-,-,-,-,-,-,10115,11350,1000
-1950,25.74,7.05,0.50,68025,810,-,-,-,-,1800,-,10115,11400,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,11450,1000
-4050,26.81,6.25,0.10,785250,2017,1800,-,1395.95,-85.10,233475,31,10115,11500,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,11550,1000
2850,27.61,5.30,-0.25,28800,80,-,-,-,-,525,-,10115,11600,1000
675,-,4.70,-0.10,16725,61,-,52.48,1609.20,-72.25,2250,1,10115,11700,1000
-,-,4.75,0.25,25425,10,-,-,-,-,2025,-,10115,11800,1000
450,30.39,3.65,-0.45,29700,11,-,-,1799.80,699.80,150,1,10115,11900,1000
26400,31.70,3.60,-0.15,729000,946,-300,-,1884.00,-96.30,186000,5,10115,12000,1000
-4500,-,3.25,-0.15,11550,97,-,-,-,-,-,-,10115,12100,1000
-,-,-,-,5100,-,-,-,-,-,675,-,10115,12200,1000
75,33.83,2.35,-1.45,7650,7,-,-,-,-,1725,-,10115,12300,1000
75,-,2.60,-1.10,675,2,-,-,-,-,148200,-,10115,12400,1000
3225,37.16,2.85,-0.05,584925,100,-,-,-,-,209925,-,10115,12500,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,12600,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,12700,1000
-,-,-,-,-,-,-,-,-,-,-,-,10115,12800,1000
-,-,-,-,4725,-,-,-,-,-,-,-,10115,12900,1000
